Customer_ID,Customer_First_Name,Customer_Last_Name,Corporate_YN,Date_of_Birth,Mobile_Number,Address,State,City,PIN_Code,Political_Exposure,Annual_Income,Occupation,Referred_By_Cust_Number,SSN_Number,Bank_Employee_YN,Citizenship
CUST1,Mary,Ayers,N,28/04/2021,91-658-747-2218,Ap #684-2723 Dui Avenue,RJ,Petrópolis,83516,Y,1828540625,Libero Ltd,Adipiscing Lobortis Corp.,16170825 7280,Y,IN
CUST2,Giacomo,Parsons,Y,4/4/1992,91-961-398-5147,"P.O. Box 343, 9879 Magna. Rd.",Stm,Knittelfeld,93647,Y,2761342112,Dolor Sit Limited,Pharetra Felis Eget Incorporated,16500222 1421,N,IN
CUST3,Porter,Bradley,N,23/12/1991,91-244-625-4426,190-2160 Sed St.,Piemonte,Colleretto Castelnuovo,732208,Y,2128353043,Sem Institute,Turpis In Condimentum LLC,16510917 2931,N,IN
CUST4,Porter,Stephenson,N,6/12/2003,91-739-870-4929,"P.O. Box 315, 1428 Dui. Road",Oax,Oaxaca,42741,N,2614793737,A Foundation,Rhoncus Proin Nisl Associates,16270214 1587,N,IN
CUST5,Kameko,Velazquez,N,24/09/2021,91-182-265-2131,"P.O. Box 741, 179 Quis, Ave",Metropolitana de Santiago,Lo Espejo,Z3525,N,2969272844,Convallis Ligula Consulting,Vestibulum Lorem Foundation,16041101 0598,Y,IN
CUST6,Hasad,Beasley,N,22/11/1974,91-412-998-2558,"Ap #598-5761 Vestibulum, Road",Fr,Harlingen,21482,N,4945128148,Curabitur Egestas Nunc LLC,Id Risus Quis Industries,16350723 9261,N,IN
CUST7,Maggy,Davis,N,8/3/2006,91-797-589-3416,650-8355 Massa Avenue,Heredia,Ulloa (Barrial),7043,Y,2351860025,Ligula Corporation,Ornare Placerat Orci LLP,16510929 5732,N,IN
CUST8,Donna,Finley,Y,22/11/1986,91-435-655-3048,Ap #254-3621 Duis Road,Piura,Sullana,3024,N,4252205042,Hendrerit Id Limited,Vitae Ltd,16311221 1648,N,IN
CUST9,Desirae,Woods,Y,18/03/1993,91-909-166-0651,"P.O. Box 227, 9275 Placerat, St.",Podkarpackie,Stalowa Wola,6605,N,2616423360,Vestibulum Massa Rutrum Incorporated,Donec Fringilla Company,16370715 1480,N,IN
CUST10,Denise,Burnett,Y,4/8/2021,91-929-346-7186,834-2453 Semper St.,V,La Cruz,62488,N,2103855095,Dolor Limited,A Foundation,16530709 6627,Y,IN
CUST11,Hillary,Daniel,N,17/11/1972,91-756-150-7042,Ap #578-4193 Tellus. Ave,Montgomeryshire,Machynlleth,640499,Y,3310565232,Luctus Sit Associates,Massa Corporation,16080318 7376,N,IN
CUST12,Amaya,Guthrie,N,27/07/1989,91-576-778-1018,138-8984 Consectetuer St.,Puno,Puno,1610,N,3151825036,Nunc Foundation,Cras Pellentesque Sed Company,16760105 8311,N,IN
CUST13,Igor,Griffin,Y,19/07/1986,91-109-835-7706,9586 Eleifend Street,Wie,Vienna,27488,N,2602856640,Mattis Velit Justo Limited,Amet Company,16490410 7069,Y,IN
CUST14,George,Conner,Y,5/1/1991,91-351-657-2351,4463 Fusce Rd.,BA,Feira de Santana,4609,N,1845704503,Varius Orci In Foundation,Neque Nullam Ltd,16761017 5502,Y,IN
CUST15,Lani,Sexton,Y,8/3/2022,91-925-846-0299,762-3448 Quis Av.,Ontario,Tay,387053,N,2519230127,Sed PC,Erat Volutpat Inc.,16030128 2489,N,IN
CUST16,Cedric,Chase,Y,8/7/1984,91-475-532-8295,699-3960 Senectus Rd.,C,Galway,67807,Y,3549935590,Dolor Dolor Industries,Et Arcu Inc.,16741121 7529,Y,IN
CUST17,Axel,Knox,Y,27/06/2020,91-703-454-2064,122-7287 Aenean St.,NI,Waitara,7067,N,293656280,Porta Elit PC,Quisque Associates,16730120 8018,Y,IN
CUST18,Cathleen,Rivera,N,6/5/2000,91-424-337-7068,9262 Euismod Ave,Gye,Seosan,456253,Y,212877137,Dictum Sapien Corp.,Sem Egestas Foundation,16830526 6119,Y,IN
CUST19,Kirk,Petersen,N,19/07/2009,91-280-511-2588,"1073 Elementum, Ave",Noord Holland,Laren,90813,N,668530959,Ultricies Dignissim Lacus Incorporated,Duis Consulting,16700409 8435,N,IN
